,data,investigado,descartado,confirmado
0,29/06/2020,01,27,03
1,28/06/2020,02,24,03
2,27/06/2020,02,24,03
3,26/06/2020,02,24,
4,25/06/2020,0,23,02
5,23/06/2020,1,22,02
6,22/06/2020,1,21,02
7,21/06/2020,1,20,02
8,20/06/2020,01,20,02
9,19/06/2020,1,19,2
10,18/06/2020,01,17,2
11,,,,
12,17/06/2020,1,16,2
13,16/06/2020,,15,1
14,15/06/2020,2,13,1
15,14/06/2020,,11,
16,13/06/2020,0,11,
17,12/06/2020,,11,0
18,11/06/2020,,11,
19,10/06/2020,,10,
20,09/06/2020,,10,
21,08/06/2020,,10,
22,07/06/2020,,10,
23,06/06/2020,,10,
24,,,10,
25,04/06/2020,,10,
26,03/06/2020,,9,
27,02/06/2020,,6,
28,01/06/2020,,6,
29,31/05/2020,,,
30,30/05/2020,,,
31,28/05/2020,,6,
32,27/05/2020,,6,
33,26/05/2020,,6,
34,25/05/2020,,6,
35,24/05/2020,,6,
36,23/05/2020,,6,
37,22/05/2020,,6,
38,21/05/2020,,6,
39,20/05/2020,0,6,0
40,19/05/2020,0,6,0
41,18/05/2020,0,6,0
42,17/05/2020,1,5,0
43,16/05/2020,1,5,0
44,15/05/2020,1,5,0
45,14/05/2020,0,5,0
46,13/05/2020,0,5,0
47,12/05/2020,,5,0
48,11/05/2020,0,5,0
49,10/05/2020,0,5,0
50,09/05/2020,0,5,0
51,08/05/2020,0,5,0
52,07/05/2020,0,5,0
53,06/05/2020,0,5,0
54,05/05/2020,,5,0
55,04/05/2020,0,5,0
56,03/05/2020,2,3,0
57,02/05//2020,2,3,0
58,30/04/2020,1,3,0
59,29/04/2020,1,3,0
60,28/04/2020,2,2,0
61,27/04/2020,2,2,0
62,31/03/2020,0,0,0
63,27/03/20,0,0,0
64,26/03/20,0,0,0
65,25/03/20,0,0,0
66,24/03/20,0,0,0
67,22/03/20,0,0,0
68,21/03/20,0,0,0
